compound_id,smiles,logS,logD
SOL-019,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@H]3O[C@@H]1C[C@@H](N)[C@@H](O)[C@@H](C)O1,0.4660,-0.7586
SOL-020,ON1C=CC=C(c2cc3nccc(-c4ccc(OC(F)F)c(OCC5CC5)c4)n3n2)C1,-2.0718,3.9797
SOL-021,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,-2.0984,3.5214
SOL-022,CN[C@@H](CCSC)C(=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1,0.6843,-1.1368
SOL-023,N=C(N)c1cccc(CC(CC(=O)N2CCCCC2C(=O)O)NS(=O)(=O)c2ccc3ccccc3c2)c1,-1.4519,2.5591
SOL-024,Nc1nc2c(ncn2C2[C@@H](CO)C[C@@H]2CO)c(=O)[nH]1,2.5494,-1.2997
SOL-025,Cn1c(N2CCN(CCCN3c4ccccc4Sc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O,-2.2171,1.6470
SOL-026,NC(N)=Nc1nc(CSCC/C(N)=N\S(N)(=O)=O)cs1,2.4180,-1.2594
SOL-027,O=C1c2ccccc2-n2c1nc1ccccc1c2=O,0.0263,1.8683
SOL-028,CC(C)NC[C@H](COc1ccc(CCOCC2CC2)cc1)OC(=O)C1CC1,-1.4931,2.7375
SOL-029,COC(=O)C(C)NP(=O)(OC[C@@H]1C=C[C@H](n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(Cl)cc1,-1.1598,1.3890
SOL-030,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,-0.2517,1.4446
SOL-031,O=C(O)CC(CC1CCN(C(=O)CCc2ccc3c(n2)NCCC3)CC1)C1CNc2ccccc2C1,-2.7028,3.2573
SOL-032,CC(C)NC[C@H](COc1cccc2ccccc12)OC(=O)C1CC1,-1.3405,2.8099
SOL-033,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-0.1940,1.0565
SOL-034,CN1C(=O)CC(N2CCCN(CCCN3c4ccccc4COc4ccc(CC(=O)O)cc43)CC2)N(C)C1=O,-2.5568,2.2475
SOL-035,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-0.0953,0.8709
SOL-036,NC(=O)Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,-1.2507,2.1139
SOL-037,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,2.4462,-2.4661
SOL-038,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,-0.2631,1.9305
SOL-039,COc1cc(OC)c2c(=O)cc(-c3ccccc3)oc2c1,-1.3682,2.8068
SOL-040,O=C(NC1(C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCN2CCOCC2)CCCC1)c1ccc(-c2ccccc2)s1,-2.7201,2.9909
SOL-041,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,3.1406,-2.8840
SOL-042,COc1cc2c(cc1OC)[C@]13CCN4CC5=CCO[C@@H]6CC(=O)N2[C@@H]1[C@@H]6[C@@H]5C[C@@H]43,-1.1679,1.6035
SOL-043,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)NCC(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(N)=O,3.7236,-4.2545
SOL-044,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,2.5675,-2.8458
SOL-045,Cn1c(N2CCCN(CCCN3c4ccccc4Sc4ccc(C(C)(C)C(=O)O)cc43)CC2)cc(=O)n(C)c1=O.Cl,-2.7968,2.9661
SOL-046,this_is_not_a_smiles,-3.0000,1.0000
SOL-047,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@@H](N)C3=CCC=CC3)[C@H]2SC1,1.1550,0.1544
